dataset,sample_id,text,original_label,original_label_name,mapped_label,mapped_label_name,split,source_fields_used,context_text,modality,has_image,metadata,cleaning_notes
FakeNewsNet,fn_people.com_73,Shannon Beador Shares Photo of 'Traumatizing' Nose Bleed,real,real,0,real,,title,,text,False,"{""source"": ""people.com"", ""url"": ""https://people.com/celebrity/shannon-beador-hospital-nose-bleed/"", ""source_domain"": ""people.com"", ""tweet_num"": ""76"", ""platform"": ""news""}",
FakeNewsNet,fn_variety.com_75,2019 SAG Award Nominations: See Full List of Nominees – Variety,real,real,0,real,,title,,text,False,"{""source"": ""variety.com"", ""url"": ""https://variety.com/2018/film/news/2019-sag-award-nominations-list-nominees-1203087472/"", ""source_domain"": ""variety.com"", ""tweet_num"": ""26"", ""platform"": ""news""}",
FakeNewsNet,fn_www.theguardian.com_9,"Robin Williams, depression and dementia: the clinical picture",fake,fake,1,fake,,title,,text,False,"{""source"": ""www.theguardian.com"", ""url"": ""www.theguardian.com/science/brain-flapping/2015/nov/04/robin-williams-depression-and-dementia-the-clinical-picture"", ""source_domain"": ""www.theguardian.com"", ""tweet_num"": ""1"", ""platform"": ""news""}",
FakeNewsNet,fn_variety.com_36,Jennifer Lopez’s ‘Shades of Blue’ to End With Season 3 on NBC,real,real,0,real,,title,,text,False,"{""source"": ""variety.com"", ""url"": ""https://variety.com/2018/tv/news/jennifer-lopez-shades-of-blue-season-3-nbc-1202743696/"", ""source_domain"": ""variety.com"", ""tweet_num"": ""49"", ""platform"": ""news""}",
FakeNewsNet,fn_www.businessinsider.com_92,"A look inside the unique relationship of Oprah Winfrey and her partner of 32 years Stedman Graham, who's said she'd make a great president for years",real,real,0,real,,title,,text,False,"{""source"": ""www.businessinsider.com"", ""url"": ""https://www.businessinsider.com/inside-relationship-oprah-winfrey-stedman-graham-2018-1"", ""source_domain"": ""www.businessinsider.com"", ""tweet_num"": ""103"", ""platform"": ""news""}",
FakeNewsNet,fn_newsflash.one_86,Kylie Jenner Brings Stormi Along as She Buys Copies of Her 2 Magazine Covers,real,real,0,real,,title,,text,False,"{""source"": ""newsflash.one"", ""url"": ""https://newsflash.one/2018/07/28/kylie-jenner-brings-stormi-along-as-she-buys-copies-of-her-2-magazine-covers/"", ""source_domain"": ""newsflash.one"", ""tweet_num"": ""54"", ""platform"": ""news""}",
FakeNewsNet,fn_perezhilton.com_96,Black Panther‘s Chadwick Boseman Laughs At Those ‘Wakanda Sometimes’ Memes With Stephen Colbert!,real,real,0,real,,title,,text,False,"{""source"": ""perezhilton.com"", ""url"": ""https://perezhilton.com/black-panther-wakanda-forever-chadwick-boseman-meme-stephen-colbert/"", ""source_domain"": ""perezhilton.com"", ""tweet_num"": ""9"", ""platform"": ""news""}",
FakeNewsNet,fn_people.com_21,"The Real Angelina Jolie, Tom Cruise and Mel Gibson: Former Studio Exec Sherry Lansing Shares Hollywood Secrets",fake,fake,1,fake,,title,,text,False,"{""source"": ""people.com"", ""url"": ""people.com/movies/sherry-lansing-shares-on-set-secrets-angelina-jolie-tom-cruise-mel-gibson/"", ""source_domain"": ""people.com"", ""tweet_num"": ""7"", ""platform"": ""news""}",
FakeNewsNet,fn_guestofaguest.com_82,Tracee Ellis Ross's SAG Awards Joke Actually Made An Important Point About Feminism,real,real,0,real,,title,,text,False,"{""source"": ""guestofaguest.com"", ""url"": ""https://guestofaguest.com/los-angeles/award-shows/tracee-ellis-rosss-sag-awards-joke-actually-made-an-important-point-about-feminism"", ""source_domain"": ""guestofaguest.com"", ""tweet_num"": ""1"", ""platform"": ""news""}",
FakeNewsNet,fn_www.longroom.com_87,Grey's Anatomy's Loretta Devine Returns to Talk Adele and More in Preview of This Week's Post-Op,real,real,0,real,,title,,text,False,"{""source"": ""www.longroom.com"", ""url"": ""https://www.longroom.com/discussion/736131/greys-anatomys-loretta-devine-returns-to-talk-adele-and-more-in-preview-of-this-weeks-post-op"", ""source_domain"": ""www.longroom.com"", ""tweet_num"": ""0"", ""platform"": ""news""}",
FakeNewsNet,fn_www.bustle.com_79,Is Dorothy Wang Single After 'Famously Single'? She Isn't The Show's Star Student,real,real,0,real,,title,,text,False,"{""source"": ""www.bustle.com"", ""url"": ""https://www.bustle.com/p/is-dorothy-wang-single-after-famously-single-she-isnt-the-shows-star-student-68339"", ""source_domain"": ""www.bustle.com"", ""tweet_num"": ""67"", ""platform"": ""news""}",
FakeNewsNet,fn_www.newidea.com.au_89,Tom Cruise and Jane Fonda spark romance rumours,fake,fake,1,fake,,title,,text,False,"{""source"": ""www.newidea.com.au"", ""url"": ""www.newidea.com.au/tom-cruise-and-jane-fonda-spark-romance-rumours"", ""source_domain"": ""www.newidea.com.au"", ""tweet_num"": ""9"", ""platform"": ""news""}",
FakeNewsNet,fn_www.dailymail.co.uk_53,Howard Stern grills Jake Gyllenhaal on his Taylor Swift romance,fake,fake,1,fake,,title,,text,False,"{""source"": ""www.dailymail.co.uk"", ""url"": ""www.dailymail.co.uk/tvshowbiz/article-3172371/You-married-Taylor-Swift-Howard-Stern-grills-Jake-Gyllenhaal-romance-singer-actor-confesses-marriage-scares-him.html"", ""source_domain"": ""www.dailymail.co.uk"", ""tweet_num"": ""43"", ""platform"": ""news""}",
FakeNewsNet,fn_nextdivas.com_98,10 Stunning Details You Need to See From A Wrinkle in Time Premiere,real,real,0,real,,title,,text,False,"{""source"": ""nextdivas.com"", ""url"": ""http://nextdivas.com/2018/02/27/10-stunning-details-you-need-to-see-from-a-wrinkle-in-time-premiere/"", ""source_domain"": ""nextdivas.com"", ""tweet_num"": ""75"", ""platform"": ""news""}",
FakeNewsNet,fn_www.nytimes.com_57,What Time Was the Royal Wedding in My Time Zone?,real,real,0,real,,title,,text,False,"{""source"": ""www.nytimes.com"", ""url"": ""https://www.nytimes.com/2018/05/17/style/royal-wedding-time-date.html"", ""source_domain"": ""www.nytimes.com"", ""tweet_num"": ""15"", ""platform"": ""news""}",
FakeNewsNet,fn_www.dailymail.co.uk_15,Kylie Jenner cuddles and kisses daughter Stormi as she details routine on tour with Travis Scott,real,real,0,real,,title,,text,False,"{""source"": ""www.dailymail.co.uk"", ""url"": ""https://www.dailymail.co.uk/tvshowbiz/article-6443329/Kylie-Jenner-cuddles-kisses-daughter-Stormi-sweet-video-supports-Travis-Scott-tour.html"", ""source_domain"": ""www.dailymail.co.uk"", ""tweet_num"": ""0"", ""platform"": ""news""}",
FakeNewsNet,fn_www.intouchweekly.com_63,"Chelsea Houska, Kailyn Lowry, and Leah Messer Threaten to Quit Teen Mom 2",real,real,0,real,,title,,text,False,"{""source"": ""www.intouchweekly.com"", ""url"": ""https://www.intouchweekly.com/posts/chelsea-houska-jenelle-evans-leah-messer-quitting-teen-mom-2-159797/"", ""source_domain"": ""www.intouchweekly.com"", ""tweet_num"": ""46"", ""platform"": ""news""}",
FakeNewsNet,fn_www.inquisitr.com_24,Kim Kardashian And Kanye West Don’t Have A Secret Pact To Fake Their Marriage [Debunked],fake,fake,1,fake,,title,,text,False,"{""source"": ""www.inquisitr.com"", ""url"": ""www.inquisitr.com/4975631/kim-kardashian-and-kanye-west-dont-have-a-secret-pact-to-fake-their-marriage-debunked/"", ""source_domain"": ""www.inquisitr.com"", ""tweet_num"": ""2"", ""platform"": ""news""}",
FakeNewsNet,fn_www.bustle.com_50,The Evolution of Cameron Diaz's Career From 'The Mask' to 'The Other Woman',real,real,0,real,,title,,text,False,"{""source"": ""www.bustle.com"", ""url"": ""https://www.bustle.com/articles/22014-the-evolution-of-cameron-diazs-career-from-the-mask-to-the-other-woman"", ""source_domain"": ""www.bustle.com"", ""tweet_num"": ""20"", ""platform"": ""news""}",
FakeNewsNet,fn_people.com_71,SAG Awards 2018 In Memoriam Honors David Cassidy,real,real,0,real,,title,,text,False,"{""source"": ""people.com"", ""url"": ""https://people.com/tv/sag-awards-2018-in-memoriam/"", ""source_domain"": ""people.com"", ""tweet_num"": ""52"", ""platform"": ""news""}",
FakeNewsNet,fn_mashable.com_95,19 times Chrissy Teigen got hilariously angry with stuff on Twitter,real,real,0,real,,title,,text,False,"{""source"": ""mashable.com"", ""url"": ""https://mashable.com/2017/11/04/chrissy-teigen-funny-angry-tweets/"", ""source_domain"": ""mashable.com"", ""tweet_num"": ""21"", ""platform"": ""news""}",
FakeNewsNet,fn_www.grammy.com_67,Shakira Wins Best Latin Pop Album For 'El Dorado',real,real,0,real,,title,,text,False,"{""source"": ""www.grammy.com"", ""url"": ""https://www.grammy.com/grammys/news/shakira-wins-best-latin-pop-album-2018-grammys"", ""source_domain"": ""www.grammy.com"", ""tweet_num"": ""18"", ""platform"": ""news""}",
FakeNewsNet,fn_pennews.pencidesign.com_65,How to Recreate Margot Robbie’s Bent Hair From the 2018 Oscars,real,real,0,real,,title,,text,False,"{""source"": ""pennews.pencidesign.com"", ""url"": ""http://pennews.pencidesign.com/pennews-star-news/recreate-margot-robbies-bent-hair-2018-oscars/"", ""source_domain"": ""pennews.pencidesign.com"", ""tweet_num"": ""1"", ""platform"": ""news""}",
FakeNewsNet,fn_www.intouchweekly.com_97,"Gwen Stefani Got Dumped by Blake Shelton Over ""Jealousy and Drama"" (EXCLUSIVE)",fake,fake,1,fake,,title,,text,False,"{""source"": ""www.intouchweekly.com"", ""url"": ""www.intouchweekly.com/posts/gwen-stefani-dumped-156076"", ""source_domain"": ""www.intouchweekly.com"", ""tweet_num"": ""40"", ""platform"": ""news""}",
FakeNewsNet,fn_www.usatoday.com_74,Bachelorette Becca Kufrin reveals she's engaged: 'I finally found my missing puzzle piece',real,real,0,real,,title,,text,False,"{""source"": ""www.usatoday.com"", ""url"": ""https://www.usatoday.com/story/life/people/2018/05/22/bachelorette-becca-kufrin-engaged-arie-luyendyk-bachelor/631971002/"", ""source_domain"": ""www.usatoday.com"", ""tweet_num"": ""17"", ""platform"": ""news""}",
FakeNewsNet,fn_www.libertyheadlines.com_47,"Seattle Police Begin Gun Confiscations: No Laws Broken, No Warrant, No Charges",fake,fake,1,fake,,title,,text,False,"{""source"": ""www.libertyheadlines.com"", ""url"": ""https://www.libertyheadlines.com/seattle-police-begin-gun-confiscations-no-laws-broken-no-warrant-no-charges/"", ""source_domain"": ""www.libertyheadlines.com"", ""tweet_num"": ""722"", ""platform"": ""news""}",
FakeNewsNet,fn_people.com_23,Laguna Beach's Talan Torriero and Wife Danielle Expecting a Baby Boy,real,real,0,real,,title,,text,False,"{""source"": ""people.com"", ""url"": ""https://people.com/parents/talan-danielle-torriero-expecting-boy/"", ""source_domain"": ""people.com"", ""tweet_num"": ""1"", ""platform"": ""news""}",
FakeNewsNet,fn_oscar.go.com_60,See All of the Couples on the Red Carpet at the 2018 Oscars,real,real,0,real,,title,,text,False,"{""source"": ""oscar.go.com"", ""url"": ""http://oscar.go.com/news/red-carpet/oscars-2018-red-carpet-live-updates"", ""source_domain"": ""oscar.go.com"", ""tweet_num"": ""19"", ""platform"": ""news""}",
FakeNewsNet,fn_www.thewrap.com_41,Stephen Colbert Morphs into Steven Seagal to Address the NFL: You Have Fans 'Under Siege' (Video),real,real,0,real,,title,,text,False,"{""source"": ""www.thewrap.com"", ""url"": ""https://www.thewrap.com/stephen-colbert-steven-seagal-nfl-under-siege/"", ""source_domain"": ""www.thewrap.com"", ""tweet_num"": ""42"", ""platform"": ""news""}",
FakeNewsNet,fn_www.longroom.com_34,Gigi Hadid Is Wearing These 5 Denim Trends Right Now—Shop her Style!,real,real,0,real,,title,,text,False,"{""source"": ""www.longroom.com"", ""url"": ""https://www.longroom.com/discussion/942650/gigi-hadid-is-wearing-these-5-denim-trends-right-now-shop-her-style"", ""source_domain"": ""www.longroom.com"", ""tweet_num"": ""62"", ""platform"": ""news""}",
FakeNewsNet,fn_hollywoodlife.com_4,Selena Gomez & Orlando Bloom: Is He Chasing Her After Split From Katy Perry?,fake,fake,1,fake,,title,,text,False,"{""source"": ""hollywoodlife.com"", ""url"": ""hollywoodlife.com/2017/03/15/orlando-bloom-calling-selena-gomez-breakup-katy-perry/"", ""source_domain"": ""hollywoodlife.com"", ""tweet_num"": ""31"", ""platform"": ""news""}",
FakeNewsNet,fn_www.flickr.com_11,"Ellen Degeneres:Ellen degeneres not warning justin bieber to get help, despite report",fake,fake,1,fake,,title,,text,False,"{""source"": ""www.flickr.com"", ""url"": ""www.flickr.com/photos/155259285@N04/36578480166/"", ""source_domain"": ""www.flickr.com"", ""tweet_num"": ""10"", ""platform"": ""news""}",
FakeNewsNet,fn_people.com_83,Katie Couric Opens Up About Matt Lauer's Firing from the Today Show,real,real,0,real,,title,,text,False,"{""source"": ""people.com"", ""url"": ""https://people.com/tv/katie-couric-matt-lauer-firing-opens-up-interview/"", ""source_domain"": ""people.com"", ""tweet_num"": ""58"", ""platform"": ""news""}",
FakeNewsNet,fn_www.abc15.com_14,People's Choice Awards 2018: See the full list of nominees,real,real,0,real,,title,,text,False,"{""source"": ""www.abc15.com"", ""url"": ""https://www.abc15.com/entertainment/people-s-choice-awards-2018-see-the-full-list-of-nominees"", ""source_domain"": ""www.abc15.com"", ""tweet_num"": ""1"", ""platform"": ""news""}",
FakeNewsNet,fn_www.health.com_58,"Jada Pinkett Smith Says Will Taught Her About Grapefruiting, the Oral Sex Trick in 'Girls Trip'—Here's What It Involves",real,real,0,real,,title,,text,False,"{""source"": ""www.health.com"", ""url"": ""https://www.health.com/sexual-health/grapefruiting-oral-sex"", ""source_domain"": ""www.health.com"", ""tweet_num"": ""58"", ""platform"": ""news""}",
FakeNewsNet,fn_wesupportdonaldtrump.com_27,MEXICO’S NEXT PRESIDENT Calls for An Invasion Of The US….,fake,fake,1,fake,,title,,text,False,"{""source"": ""wesupportdonaldtrump.com"", ""url"": ""http://wesupportdonaldtrump.com/mexico-next-president-invasion-1-a/"", ""source_domain"": ""wesupportdonaldtrump.com"", ""tweet_num"": ""58"", ""platform"": ""news""}",
FakeNewsNet,fn_www.longroom.com_6,Bethenny Frankel Is E!’s Guest Fitness Editor: 5 Things You Didn’t Know,real,real,0,real,,title,,text,False,"{""source"": ""www.longroom.com"", ""url"": ""https://www.longroom.com/discussion/671888/bethenny-frankel-is-e-s-guest-fitness-editor-5-things-you-didn-t-know"", ""source_domain"": ""www.longroom.com"", ""tweet_num"": ""34"", ""platform"": ""news""}",
FakeNewsNet,fn_www.wikihow.com_30,How to Make a Top Knot Bun,real,real,0,real,,title,,text,False,"{""source"": ""www.wikihow.com"", ""url"": ""https://www.wikihow.com/Make-a-Top-Knot-Bun"", ""source_domain"": ""www.wikihow.com"", ""tweet_num"": ""113"", ""platform"": ""news""}",
FakeNewsNet,fn_ew.com_64,Lupita Nyong'o secretly went undercover in costume at Comic-Con,real,real,0,real,,title,,text,False,"{""source"": ""ew.com"", ""url"": ""https://ew.com/comic-con/2017/07/26/lupita-nyongo-comic-con-undercover-power-rangers-costume/"", ""source_domain"": ""ew.com"", ""tweet_num"": ""1"", ""platform"": ""news""}",
FakeNewsNet,fn_www.hollywoodreporter.com_81,"James Corden Stages Andrew Lloyd Webber-Themed ""Crosswalk the Musical"" in London",real,real,0,real,,title,,text,False,"{""source"": ""www.hollywoodreporter.com"", ""url"": ""https://www.hollywoodreporter.com/live-feed/james-corden-stages-andrew-lloyd-webber-themed-crosswalk-musical-london-1121396"", ""source_domain"": ""www.hollywoodreporter.com"", ""tweet_num"": ""35"", ""platform"": ""news""}",
FakeNewsNet,fn_www.dailymail.co.uk_40,Blake Shelton teaches Gwen Stefani's son how to drive,real,real,0,real,,title,,text,False,"{""source"": ""www.dailymail.co.uk"", ""url"": ""https://www.dailymail.co.uk/tvshowbiz/article-5230921/Blake-Shelton-teaches-Gwen-Stefanis-son-drive.html"", ""source_domain"": ""www.dailymail.co.uk"", ""tweet_num"": ""20"", ""platform"": ""news""}",
FakeNewsNet,fn_www.eonline.com_51,Brad Pitt vs. the Rumor Mill: Why He's the Target of Even More Wild Stories Than Usual,fake,fake,1,fake,,title,,text,False,"{""source"": ""www.eonline.com"", ""url"": ""www.eonline.com/news/921007/brad-pitt-vs-the-rumor-mill-why-he-s-the-target-of-even-more-wild-stories-than-usual"", ""source_domain"": ""www.eonline.com"", ""tweet_num"": ""6"", ""platform"": ""news""}",
FakeNewsNet,fn_www.dailymail.co.uk_43,Teen Mom OG's Mackenzie Edwards shares first photo of Ryan with baby Jagger following rehab stint,real,real,0,real,,title,,text,False,"{""source"": ""www.dailymail.co.uk"", ""url"": ""https://www.dailymail.co.uk/tvshowbiz/article-6464797/Teen-Mom-OGs-Mackenzie-Edwards-shares-photo-Ryan-baby-Jagger-following-rehab-stint.html"", ""source_domain"": ""www.dailymail.co.uk"", ""tweet_num"": ""56"", ""platform"": ""news""}",
FakeNewsNet,fn_mlst.blog_12,JENNIFER LOPEZ TALKS ALEX RODRIGUEZ ENGAGEMENT RUMORS AFTER “EL ANILLO” STIRS SPECULATION—(7 MINUTES READ).,real,real,0,real,,title,,text,False,"{""source"": ""mlst.blog"", ""url"": ""https://mlst.blog/2018/06/30/jennifer-lopez-talks-alex-rodriguez-engagement-rumors-after-el-anillo-stirs-speculation-7-minutes-read-15/"", ""source_domain"": ""mlst.blog"", ""tweet_num"": ""49"", ""platform"": ""news""}",
FakeNewsNet,fn_www.seventeen.com_13,Go Back-to-School Shopping with Victoria Justice!,real,real,0,real,,title,,text,False,"{""source"": ""www.seventeen.com"", ""url"": ""https://www.seventeen.com/beauty/celeb-beauty/news/a12122/victoria-justice-fashion-interview/"", ""source_domain"": ""www.seventeen.com"", ""tweet_num"": ""58"", ""platform"": ""news""}",
FakeNewsNet,fn_people.com_94,Stanley Tucci and Wife Felicity Welcome Daughter Emilia Giovanna,real,real,0,real,,title,,text,False,"{""source"": ""people.com"", ""url"": ""https://people.com/parents/stanley-tucci-felicity-blunt-welcome-daughter-emilia-giovanna/"", ""source_domain"": ""people.com"", ""tweet_num"": ""58"", ""platform"": ""news""}",
FakeNewsNet,fn_abcnews.go.com_77,Rebel Wilson accuses male star of 'disgusting' sexual misconduct,real,real,0,real,,title,,text,False,"{""source"": ""abcnews.go.com"", ""url"": ""https://abcnews.go.com/Entertainment/rebel-wilson-accuses-male-star-disgusting-sexual-misconduct/story?id=51085227"", ""source_domain"": ""abcnews.go.com"", ""tweet_num"": ""89"", ""platform"": ""news""}",
FakeNewsNet,fn_www.telegraph.co.uk_69,Kate and Leo: the 19-year friendship that's kept everyone guessing,fake,fake,1,fake,,title,,text,False,"{""source"": ""www.telegraph.co.uk"", ""url"": ""www.telegraph.co.uk/culture/film/oscars/12178330/Kate-and-Leo-the-19-year-friendship-thats-kept-everyone-guessing.html"", ""source_domain"": ""www.telegraph.co.uk"", ""tweet_num"": ""14"", ""platform"": ""news""}",
FakeNewsNet,fn_www.msn.com_16,"Yep, Oprah Winfrey and Serena Williams rode the shuttles to the royal wedding",real,real,0,real,,title,,text,False,"{""source"": ""www.msn.com"", ""url"": ""https://www.msn.com/en-us/entertainment/celebrity/yep-oprah-winfrey-and-serena-williams-rode-the-shuttles-to-the-royal-wedding/ar-AAxwftV?li=AA2qN5v&;ocid=spartandhp&parent-title=fantastic-beasts-sequels-casting-young-dumbledore&parent-ns=ar&parent-content-id=AAk3"", ""source_domain"": ""www.msn.com"", ""tweet_num"": ""14"", ""platform"": ""news""}",
FakeNewsNet,fn_www.eonline.com_70,8 Reasons Why Rihanna and Drake Could Be the Next Beyoncé and Jay Z,fake,fake,1,fake,,title,,text,False,"{""source"": ""www.eonline.com"", ""url"": ""www.eonline.com/news/783289/8-reasons-why-rihanna-and-drake-could-be-the-next-beyonce-and-jay-z"", ""source_domain"": ""www.eonline.com"", ""tweet_num"": ""136"", ""platform"": ""news""}",
FakeNewsNet,fn_people.com_39,Jeff Leatham Gets His Own Proposal from Fiancé Colton Haynes 2 Months After He Popped the Question,real,real,0,real,,title,,text,False,"{""source"": ""people.com"", ""url"": ""https://people.com/celebrity/jeff-leatham-own-proposal-fiance-colton-haynes/"", ""source_domain"": ""people.com"", ""tweet_num"": ""107"", ""platform"": ""news""}",
FakeNewsNet,fn_radaronline.com_32,Caitlyn’s Hearing Hell! Jenner Leans On New Girlfriend For Support As She Goes Deaf,fake,fake,1,fake,,title,,text,False,"{""source"": ""radaronline.com"", ""url"": ""radaronline.com/videos/caitlyn-jenner-deaf-hearing-aid-sophia-hutchins/"", ""source_domain"": ""radaronline.com"", ""tweet_num"": ""10"", ""platform"": ""news""}",
FakeNewsNet,fn_www.etonline.com_72,"The Ladies of 'The Platinum Life' Talk Love, Heartbreak & Drama on New Reality Series (Exclusive)",real,real,0,real,,title,,text,False,"{""source"": ""www.etonline.com"", ""url"": ""https://www.etonline.com/ladies-platinum-life-talk-love-heartbreak-drama-new-reality-series-exclusive-89184"", ""source_domain"": ""www.etonline.com"", ""tweet_num"": ""32"", ""platform"": ""news""}",
FakeNewsNet,fn_www.etalk.ca_38,Charlie Weber admits 'I'm very happy' dating HTGAWM co-star Liza Weil,real,real,0,real,,title,,text,False,"{""source"": ""www.etalk.ca"", ""url"": ""https://www.etalk.ca/Celebrity/July2017/Charlie-Weber-Liza-Weil-very-happy-dating-HTGAWM"", ""source_domain"": ""www.etalk.ca"", ""tweet_num"": ""0"", ""platform"": ""news""}",
FakeNewsNet,fn_www.express.co.uk_2,Kate Middleton pregnant? Is Kate pregnant with fourth baby - Bookies odds in FRENZY,real,real,0,real,,title,,text,False,"{""source"": ""www.express.co.uk"", ""url"": ""https://www.express.co.uk/news/royal/1046244/Kate-Middleton-pregnant-Is-Kate-Middleton-pregnant-with-fourth-baby-Kate-pregnant-odds"", ""source_domain"": ""www.express.co.uk"", ""tweet_num"": ""16"", ""platform"": ""news""}",
FakeNewsNet,fn_hollywoodlife.com_91,Justin Bieber ‘Still Reeling’ From Selena Gomez Split: Is He Searching For A New Love To Replace Her?,fake,fake,1,fake,,title,,text,False,"{""source"": ""hollywoodlife.com"", ""url"": ""hollywoodlife.com/2018/05/17/justin-bieber-selena-gomez-split-is-he-ready-for-love-again/"", ""source_domain"": ""hollywoodlife.com"", ""tweet_num"": ""14"", ""platform"": ""news""}",
FakeNewsNet,fn_time.com_88,When Is Kate Middleton Due? Royal Baby 3 Is on the Way,real,real,0,real,,title,,text,False,"{""source"": ""time.com"", ""url"": ""http://time.com/5156818/kate-middleton-royal-baby-due-date/"", ""source_domain"": ""time.com"", ""tweet_num"": ""60"", ""platform"": ""news""}",
FakeNewsNet,fn_washingtonpress.com_76,A Trump fan was just charged with trying to murder Maxine Waters on same day Trump threatened her,fake,fake,1,fake,,title,,text,False,"{""source"": ""washingtonpress.com"", ""url"": ""https://washingtonpress.com/2018/06/25/a-trump-fan-was-just-charged-with-trying-to-murder-maxine-waters-on-same-day-trump-threatened-her/"", ""source_domain"": ""washingtonpress.com"", ""tweet_num"": ""71"", ""platform"": ""news""}",
FakeNewsNet,fn_toofab.com_84,Miley Cyrus Sends a Surprise 'Welcome Home' Message to Las Vegas Shooting Survivor,real,real,0,real,,title,,text,False,"{""source"": ""toofab.com"", ""url"": ""http://toofab.com/2017/10/18/miley-cyrus-sends-a-surprise-welcome-home-message-to-las-vegas-shooting-survivor/"", ""source_domain"": ""toofab.com"", ""tweet_num"": ""18"", ""platform"": ""news""}",
FakeNewsNet,fn_www.independent.ie_99,Floating voter: It's a dog-eat-candidate world on the campaign trail for Ring,fake,fake,1,fake,,title,,text,False,"{""source"": ""www.independent.ie"", ""url"": ""www.independent.ie/irish-news/election-2016/parish-pump/floating-voter-its-a-dogeatcandidate-world-on-the-campaign-trail-for-ring-34460370.html"", ""source_domain"": ""www.independent.ie"", ""tweet_num"": ""6"", ""platform"": ""news""}",
