dataset,sample_id,text,original_label,original_label_name,mapped_label,mapped_label_name,split,source_fields_used,context_text,modality,has_image,metadata,cleaning_notes
MuMiN,mn_355,"The vaccine-associated peak protein in the bloodstream could explain a myriad of adverse events reported from COVID vaccines, including the 4,000 deaths to date, and nearly 15,000 hospitalizations.",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_482,Photo shows Doria going to vote in a mask emblazoned with the flag of China,misinformation,misinformation,1,fake,test,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_275,Registration to be vaccinated against covid-19 and coronavirus and the vaccination queue,misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_472,Do coronaviruses survive 5 days in plastic?,misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_507,"The use of the mask in an abusive way and without scientific support, can cause hypercapnia, that is, the effect of accumulation of excess CO2 in the bloodstream due to lack of adequate oxygenation.",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_411,"""This plasma is made from antibodies from people who have recovered from the virus, but the vaccine eliminates those antibodies and is making this plasma ineffective for treating other patients with Covid-19.""",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_280,501 people died in the US because of covid-19 vaccination,misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_573,"Most of the population already has natural immunity to the virus. Either through specific immunity (...), resulting from previous infection by Sars-cov-2 or by cross-immunity, resulting from exposure to other coronaviruses",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_485,"The widespread use of masks has been discouraged around the world. WHO - If you are healthy, the mask is indicated only if you are taking care of someone infected. SINGAPORE - Only wear masks if you are experiencing respiratory symptoms such as coughing and running nose. JAPAN - The use of masks in outdoor environments is not efficient to prevent the virus. USA - The CDC does not recommend that healthy people wear masks. Through Twitter, the US Surgeon General asked people to stop buying masks. UNITED KINGDOM - There is no evidence to justify the widespread use of masks by the public. GERMANY - There is no evidence showing that the use of masks is capable of sufficiently reducing the risk of a healthy person becoming infected.",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_567,"After administering a vaccine that sterilized thousands of men and women in Nigeria, Bill Gates is injecting polio virus (infantile paralysis) into people in Sudan through fake vaccines.",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_62,"Accelerated Covid-19 Vaccine Alters Human DNA, Turns People into Genetically Modified Properties",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_313,Thirty percent of those vaccinated with covid-19 vaccines will die within three months,misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_532,"“The first black actress to win an Oscar was Hattie McDaniel, in the classic Gone With the Wind. The film has just been eliminated from the HBO Max platform for being politically incorrect. . Congratulations.""",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_544,Former player Samuel Eto’o paid part of the 1.6 million euros for his friend Ronaldinho to be released,misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_429,"""All vaccinated people will die within two years""",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_396,Infectologist Marcio Burgarelli highlights in a video that a single dose of the vaccine does not allow the resumption of life in conditions prior to covid-19,misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_375,"""More mortality associated with the Covid-19 vaccine than the sum of all vaccines in the previous 31 years.""",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_572,"In the end, you see reality: Cristiano is the best in the world, Messi is possibly the best in the barça, with the Ronaldinho hypothesis!",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_437,"The spike in vaccine-associated protein in the bloodstream could explain a myriad of adverse events reported from COVID vaccines, including the 4,000 deaths to date and nearly 15,000 hospitalizations reported to the US government's Vaccine Adverse Event Reporting System (VAERS ) on May 21, 2021.",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_547,"“The Corona virus originated from the city of Wuhan in China and has now reached all corners of the world, but this virus has not reached the capital of China: Beijing and the economic capital: Shanghai near Wuhan, why…?”",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_77,Photos show mandatory vaccination against Covid-19 in Peru.,misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_311,"""The goal of reaching the beginning of this summer with 70% of the adult population vaccinated against Covid-19 with at least one dose was reached last Friday [July 9], anticipating the goal that had been defined by the Government""",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_204,Drinking boiled water with garlic cures the new coronavirus,misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_326,Figures prove that there is no lack of covid-19 vaccines in Brazil and that the problem is on the front line,misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_346,Brazil is the third country that most applied the first dose of the vaccine against Covid-19,misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_169,"Tests for covid-19 have been sold since 2018, before the disease is detected.",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_535,"Player Samuel Eto, now retired, paid part of the 1.6 million euros for his friend Ronaldinho to be released.",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_497,“The mask loses 20% of the oxygen in the blood and acidifies it because of the CO2 re-injected with each breath. Danger of wearing a mask while driving. But the people manipulated by the rotten media don't want to wake up!!!,misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_473,"Charlie Hebdo made a headline with a cartoon of Lula and the headline: ""Confirmed: the Brazilian Supreme is shit""",misinformation,misinformation,1,fake,test,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_61,Director of WHO does not recommend that vaccine against covid-19 is mandatory,misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_297,Covid-19 vaccines are creating a new variant,misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_541,"Player Samuel Eto'o, now retired, paid part of the 1.6 million euros for his friend Ronaldinho to be released.",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_414,"""Covid Portugal. Official deaths from Jan 2020 to April 2021 = 152""",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_29,"Covid-19 is the name of a plan to reduce population, taking vaccines weakens the immune system, tests do not accurately detect the new coronavirus, according to Dr. Roberto Petrella",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_128,CORONAVIRUS in China! China's real reality! beware friends,misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_320,"""Most of those who got the Covid-19 vaccine are dead by the year 2025. We now know the following facts""",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_483,"""URGENT: The hacker invasion of the TSE reveals the fraud at the ballot boxes with the seal of the electoral justice. The valid votes and those of those who justifies are in different databases. They can unload the votes of those who will justify on the left.""",misinformation,misinformation,1,fake,test,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_196,"In 2015, Italian TV station RAI demonstrated that the new coronavirus was created in a laboratory by the Chinese government.",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_475,JOÃO DORIA from PSDB went to vote wearing the mask of the China flag. Does anyone have any doubts that this bastard represents the interests of the Chinese party in Brazil?,misinformation,misinformation,1,fake,test,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_237,There are drugs that cure Covid-19,misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_52,Development of vaccines against covid-19 is comparable to that of thalidomide,misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_55,"""Covid-19 vaccines do not create immunity""",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_195,The new coronavirus can be transmitted through parcels shipped from China,misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_433,"""[Pfizer's] vaccine is still in the experimental phase, despite being given to the public""",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_478,"The governor of São Paulo, João Doria, went to vote in municipal elections wearing a mask of the Chinese flag.",misinformation,misinformation,1,fake,test,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_560,Big fire at Dubai airport,misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_175,Publication of The American Journal of Medicine guarantees efficacy of early use of hydroxychloroquine in combating covid-19,misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_509,The use of masks does not reduce the risk of contracting the coronavirus and is harmful to health,misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_391,Covid-19 Experimental Vaccination and Clinical Trials Center until 2023.,misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_549,Netflix CEO Reed Hastings has been arrested for possession of child pornography,misinformation,misinformation,1,fake,validate,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_176,"Then the long-awaited meta-analysis has arrived! PhD Dr Harvey Risch's work at Yale University - USA concludes that the use of Hydroxychloroquine is safe, in addition to being effective in reducing infection, hospitalization and death. Do you know what this means? That together with more than 111 observational works, this work gives the much demanded EVIDENCE LEVEL 1 for the treatment of COVID-19 (with recommendation A)!",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_9,"In a video, journalist Karina Michelin states that the Covid-19 vaccine causes genetic alterations and is made with fetal DNA",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_568,"Video: ""Paulo GONÇALVES Fatal Fall Dakar 2020.""",misinformation,misinformation,1,fake,test,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_474,"“Racism in Portugal is: Giving 875 a month to a refugee who is passing through and 389.34 euros to someone who has worked with a 40-year discount. This is racism!""",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_566,Vaccine causes polio outbreak in Sudan,misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_463,"""It looks familiar [accompanied by two photographs allegedly showing Trump and Hitler holding the Bible]""",misinformation,misinformation,1,fake,test,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_556,"""Buckingham Palace confirmed this Friday that Queen Elizabeth II has been diagnosed with Covid-19. The information is from the British portal UCR World News. This is the second royal infected with the Sars-Cov-2 virus. The first it was Prince Charles""",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_241,Prince Philip plays tricks while wearing the uniform of the Queen's guards. Queen Elizabeth walks past him and bursts into laughter,misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_500,"""Prolonged use of the mask produces hypoxia. Repeatedly breathing exhaled air turns into carbon dioxide, and that's why we feel dizzy.",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_546,"Corona virus traveled all over the world from Wuhan, but did not reach Beijing and Shanghai",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_534,"""The Pope was arrested Saturday morning on 80 counts of sexual abuse""",misinformation,misinformation,1,fake,validate,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_481,"After denying attack, TSE has databases exposed by hackers on election day. TSE has just been hacked. The court denied the attack and then the hackers exposed the database on election day. You can trust the electronic voting machines, my friend saw. Vote printed now!",misinformation,misinformation,1,fake,test,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_267,Stanford study says masks are ineffective against covid-19 and can cause health deterioration and premature death,misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_246,"""In Peru, vaccination against Covid-19 became mandatory and anyone who refuses to take it will be arrested""",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_559,"“The corona virus, before reaching the lungs, remains in the throat for four days and, at that moment, the person starts to cough and have a sore throat. If she drinks a lot of water and gargles with warm water, salt or vinegar, it eliminates the virus.”",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_571,"""Good news! Corona virus vaccine ready. Capable of curing patient 3 hours after injection. Hats off to US scientists. At the moment, Trump has announced that Roche Medical Company will launch the vaccine next Sunday and millions of doses are ready!""",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_41,We finally found a vaccine that works! Congratulations to CHINA for the example of fighting COVID-19! Everyone must buy the Chinese Vaccine NOW,misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_464,"""People don't want to work.""",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_531,"""From a medical point of view, there is no proven effectiveness of the masks, announced the Minister of the Netherlands Tamara van Ark, citing the fact that there is no scientific evidence to suggest that they are effective against the spread of the coronavirus.""",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_76,The possibility of mandatory vaccination against Covid-19 has been u......,misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_489,"The Government lies and the media deceives you. There is no pandemic and covid is a simple cold virus. The death toll is false. (...) The government is perverse and wants you to get sick, that's why it prevents you from going to the beach. On the beach there are no viruses, the sand has no viruses, the sun's heat destroys viruses.",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_554,Man Dies of Heart Attack After Receiving Covid-19 Vaccine,misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_82,First person to be vaccinated against covid-19 had already received the immunizing agent before,misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_157,"""Bat soup in China could be the origin of the corona virus!""",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_253,"In Peru vaccination against covid19 has become mandatory and anyone who refuses to take it will be arrested, see the images below, it has already started AWAKEN the Great Tribulation is coming",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_279,Covid-19 Vaccinated Will Die in Two Years,misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_299,Vaccination against covid-19 has reports of simulation of dose application,misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_30,"covid-19 vaccines will “turn off” our immune system, and we won't resist the next covid-19 mutation.",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_104,Embarrassing moment with a notification from Porn Hub coming in during a CNN direct with an update of election results.,misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_545,"""Masks increase cases, nothing new. That's what happened in other countries before us, like France and Spain [...] if you don't breathe properly, you don't breathe in enough oxygen for your body to function properly. Besides germs and bacteria that stay in the masks and that you breathe""",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
